,JPN,USA,FRA,ITA,DEU,ESP,KOR,SCH,TCH
471,パワーシェア,Power Split,Partage Force,Pariattacco,Kraftteiler,Isofuerza,파워셰어,力量平分,力量平分
472,ワンダールーム,Wonder Room,Zone Étrange,Mirabilzona,Wunderraum,Zona Extraña,원더룸,奇妙空间,奇妙空間
473,サイコショック,Psyshock,Choc Psy,Psicoshock,Psychoschock,Psicocarga,사이코쇼크,精神冲击,精神衝擊
474,ベノムショック,Venoshock,Choc Venin,Velenoshock,Giftschock,Carga Tóxica,베놈쇼크,毒液冲击,毒液衝擊
475,ボディパージ,Autotomize,Allègement,Sganciapesi,Autotomie,Aligerar,바디퍼지,身体轻量化,身體輕量化
476,いかりのこな,Rage Powder,Poudre Fureur,Polverabbia,Wutpulver,Polvo Ira,분노가루,愤怒粉,憤怒粉
477,テレキネシス,Telekinesis,Lévikinésie,Telecinesi,Telekinese,Telequinesis,텔레키네시스,意念移物,意念移物
478,マジックルーム,Magic Room,Zone Magique,Magicozona,Magieraum,Zona Mágica,매직룸,魔法空间,魔法空間
479,うちおとす,Smack Down,Anti-Air,Abbattimento,Katapult,Antiaéreo,떨어뜨리기,击落,擊落
480,やまあらし,Storm Throw,Yama Arashi,Tempestretta,Bergsturm,Llave Corsé,업어후리기,山岚摔,山嵐摔
481,はじけるほのお,Flame Burst,Rebondifeu,Pirolancio,Funkenflug,Pirotecnia,불꽃튀기기,烈焰溅射,烈焰濺射
482,ヘドロウェーブ,Sludge Wave,Cradovague,Fangonda,Schlammwoge,Onda Tóxica,오물웨이브,污泥波,污泥波
483,ちょうのまい,Quiver Dance,Papillodanse,Eledanza,Falterreigen,Danza Aleteo,나비춤,蝶舞,蝶舞
484,ヘビーボンバー,Heavy Slam,Tacle Lourd,Pesobomba,Rammboss,Cuerpo Pesado,헤비봄버,重磅冲撞,重磅衝撞
485,シンクロノイズ,Synchronoise,Synchropeine,Sincrumore,Synchrolärm,Sincrorruido,싱크로노이즈,同步干扰,同步干擾
486,エレキボール,Electro Ball,Boule Élek,Energisfera,Elektroball,Bola Voltio,일렉트릭볼,电球,電球
487,みずびたし,Soak,Détrempage,Inondazione,Überflutung,Empapar,물붓기,浸水,浸水
488,ニトロチャージ,Flame Charge,Nitrocharge,Nitrocarica,Nitroladung,Nitrocarga,니트로차지,蓄能焰袭,蓄能焰襲
489,とぐろをまく,Coil,Enroulement,Arrotola,Einrollen,Enrosque,똬리틀기,盘蜷,盤蜷
490,ローキック,Low Sweep,Balayette,Calciobasso,Fußtritt,Puntapié,로킥,下盘踢,下盤踢
491,アシッドボム,Acid Spray,Bombe Acide,Acidobomba,Säurespeier,Bomba Ácida,애시드봄,酸液炸弹,酸液炸彈
492,イカサマ,Foul Play,Tricherie,Ripicca,Schmarotzer,Juego Sucio,속임수,移花接木,欺詐
493,シンプルビーム,Simple Beam,Rayon Simple,Ondisinvolta,Wankelstrahl,Onda Simple,심플빔,单纯光束,單純光束
494,なかまづくり,Entrainment,Ten-Danse,Saltamicizia,Zwango,Danza Amiga,동료만들기,找伙伴,找夥伴
495,おさきにどうぞ,After You,Après Vous,Cortesia,Galanterie,Cede Paso,당신먼저,您先请,您先請
496,りんしょう,Round,Chant Canon,Coro,Kanon,Canon,돌림노래,轮唱,輪唱
497,エコーボイス,Echoed Voice,Écho,Echeggiavoce,Widerhall,Eco Voz,에코보이스,回声,回聲
498,なしくずし,Chip Away,Attrition,Insidia,Zermürben,Guardia Baja,야금야금,逐步击破,逐步擊破
499,クリアスモッグ,Clear Smog,Bain de Smog,Pulifumo,Klärsmog,Niebla Clara,클리어스모그,清除之烟,清除之煙
500,アシストパワー,Stored Power,Force Ajoutée,Veicolaforza,Kraftvorrat,Poder Reserva,어시스트파워,辅助力量,輔助力量
501,ファストガード,Quick Guard,Prévention,Anticipo,Rapidschutz,Anticipo,패스트가드,快速防守,快速防守
502,サイドチェンジ,Ally Switch,Interversion,Cambiaposto,Seitentausch,Cambio de Banda,사이드체인지,交换场地,交換場地
503,ねっとう,Scald,Ébullition,Idrovampata,Siedewasser,Escaldar,열탕,热水,熱水
504,からをやぶる,Shell Smash,Exuviation,Gettaguscio,Hausbruch,Rompecoraza,껍질깨기,破壳,破殼
505,いやしのはどう,Heal Pulse,Vibra Soin,Curapulsar,Heilwoge,Pulso Cura,치유파동,治愈波动,治癒波動
506,たたりめ,Hex,Châtiment,Sciagura,Bürde,Infortunio,병상첨병,祸不单行,禍不單行
507,フリーフォール,Sky Drop,Chute Libre,Cadutalibera,Freier Fall,Caída Libre,프리폴,自由落体,自由落體
508,ギアチェンジ,Shift Gear,Change-Vitesse,Cambiomarcia,Gangwechsel,Cambio de Marcha,기어체인지,换档,換檔
509,ともえなげ,Circle Throw,Projection,Ribaltiro,Überkopfwurf,Llave Giro,배대뒤치기,巴投,巴投
510,やきつくす,Incinerate,Calcination,Bruciatutto,Einäschern,Calcinación,불태우기,烧净,燒盡
511,さきおくり,Quash,À la Queue,Spintone,Verzögerung,Último Lugar,순서미루기,延后,延後
512,アクロバット,Acrobatics,Acrobatie,Acrobazia,Akrobatik,Acróbata,애크러뱃,杂技,雜技
513,ミラータイプ,Reflect Type,Copie-Type,Riflettipo,Typenspiegel,Clonatipo,미러타입,镜面属性,鏡面屬性
514,かたきうち,Retaliate,Vengeance,Nemesi,Heimzahlung,Represalia,원수갚기,报仇,報仇
515,いのちがけ,Final Gambit,Tout ou Rien,Azzardo,Wagemut,Sacrificio,목숨걸기,搏命,搏命
516,ギフトパス,Bestow,Passe-Cadeau,Cediregalo,Offerte,Ofrenda,기프트패스,传递礼物,傳遞禮物
517,れんごく,Inferno,Feu d'Enfer,Marchiatura,Inferno,Infierno,연옥,烈火深渊,煉獄
518,みずのちかい,Water Pledge,Aire d'Eau,Acquapatto,Wassersäulen,Voto Agua,물의맹세,水之誓约,水之誓約
519,ほのおのちかい,Fire Pledge,Aire de Feu,Fiammapatto,Feuersäulen,Voto Fuego,불꽃의맹세,火之誓约,火之誓約
520,くさのちかい,Grass Pledge,Aire d'Herbe,Erbapatto,Pflanzensäulen,Voto Planta,풀의맹세,草之誓约,草之誓約
521,ボルトチェンジ,Volt Switch,Change-Éclair,Invertivolt,Voltwechsel,Voltiocambio,볼트체인지,伏特替换,伏特替換
522,むしのていこう,Struggle Bug,Survinsecte,Entomoblocco,Käfertrutz,Estoicismo,벌레의저항,虫之抵抗,蟲之抵抗
523,じならし,Bulldoze,Piétisol,Battiterra,Dampfwalze,Terratemblor,땅고르기,重踏,重踏
524,こおりのいぶき,Frost Breath,Souffle Glacé,Alitogelido,Eisesodem,Vaho Gélido,얼음숨결,冰息,冰息
525,ドラゴンテール,Dragon Tail,Draco-Queue,Codadrago,Drachenrute,Cola Dragón,드래곤테일,龙尾,龍尾
526,ふるいたてる,Work Up,Rengorgement,Cuordileone,Kraftschub,Avivar,분발,自我激励,自我激勵
527,エレキネット,Electroweb,Toile Élek,Elettrotela,Elektronetz,Electrotela,일렉트릭네트,电网,電網
528,ワイルドボルト,Wild Charge,Éclair Fou,Sprizzalampo,Stromstoß,Voltio Cruel,와일드볼트,疯狂伏特,瘋狂伏特
529,ドリルライナー,Drill Run,Tunnelier,Giravvita,Schlagbohrer,Taladradora,드릴라이너,直冲钻,直衝鑽
530,ダブルチョップ,Dual Chop,Double Baffe,Doppiocolpo,Doppelhieb,Golpe Bis,더블촙,二连劈,二連劈
531,ハートスタンプ,Heart Stamp,Crève-Cœur,Cuorestampo,Herzstempel,Arrumaco,하트스탬프,爱心印章,愛心印章
532,ウッドホーン,Horn Leech,Encornebois,Legnicorno,Holzgeweih,Asta Drenaje,우드혼,木角,木角
533,せいなるつるぎ,Sacred Sword,Lame Sainte,Spadasolenne,Sanctoklinge,Espada Santa,성스러운칼,圣剑,聖劍
534,シェルブレード,Razor Shell,Coqui-Lame,Conchilama,Kalkklinge,Concha Filo,셸블레이드,贝壳刃,貝殼刃
535,ヒートスタンプ,Heat Crash,Tacle Feu,Marchiafuoco,Brandstempel,Golpe Calor,히트스탬프,高温重压,高溫重壓
536,グラスミキサー,Leaf Tornado,Phytomixeur,Vorticerba,Grasmixer,Ciclón de Hojas,그래스믹서,青草搅拌器,青草攪拌器
537,ハードローラー,Steamroller,Bulldoboule,Rulloduro,Quetschwalze,Rodillo de Púas,하드롤러,疯狂滚压,瘋狂滾壓
538,コットンガード,Cotton Guard,Cotogarde,Cotonscudo,Watteschild,Rizo Algodón,코튼가드,棉花防守,棉花防守
539,ナイトバースト,Night Daze,Explonuit,Urtoscuro,Nachtflut,Pulso Noche,나이트버스트,暗黑爆破,暗黑爆破
540,サイコブレイク,Psystrike,Frappe Psy,Psicobotta,Psychostoß,Onda Mental,사이코브레이크,精神击破,精神擊破
541,スイープビンタ,Tail Slap,Plumo-Queue,Spazzasberla,Kehrschelle,Plumerazo,스위프뺨치기,扫尾拍打,掃尾拍打
542,ぼうふう,Hurricane,Vent Violent,Tifone,Orkan,Vendaval,폭풍,暴风,暴風
543,アフロブレイク,Head Charge,Peignée,Ricciolata,Steinschädel,Ariete,아프로브레이크,爆炸头突击,爆炸頭突擊
544,ギアソーサー,Gear Grind,Lancécrou,Ingracolpo,Klikkdiskus,Rueda Doble,기어소서,齿轮飞盘,齒輪飛盤
545,かえんだん,Searing Shot,Incendie,Sparafuoco,Flammenball,Bomba Ígnea,화염탄,火焰弹,火焰彈
546,テクノバスター,Techno Blast,Techno-Buster,Tecnobotto,Techblaster,Tecno Shock,테크노버스터,高科技光炮,高科技光炮
547,いにしえのうた,Relic Song,Chant Antique,Cantoantico,Urgesang,Canto Arcaico,옛노래,古老之歌,古老之歌
548,しんぴのつるぎ,Secret Sword,Lame Ointe,Spadamistica,Mystoschwert,Sable Místico,신비의칼,神秘之剑,神秘之劍
549,こごえるせかい,Glaciate,Ère Glaciaire,Gelamondo,Eiszeit,Mundo Gélido,얼어붙은세계,冰封世界,冰封世界
550,らいげき,Bolt Strike,Charge Foudre,Lucesiluro,Blitzschlag,Ataque Fulgor,뇌격,雷击,雷擊
551,あおいほのお,Blue Flare,Flamme Bleue,Fuocoblu,Blauflammen,Llama Azul,푸른불꽃,青焰,青焰
552,ほのおのまい,Fiery Dance,Danse du Feu,Voldifuoco,Feuerreigen,Danza Llama,불꽃춤,火之舞,火之舞
553,フリーズボルト,Freeze Shock,Éclair Gelé,Elettrogelo,Frostvolt,Rayo Gélido,프리즈볼트,冰冻伏特,冰凍伏特
554,コールドフレア,Ice Burn,Feu Glacé,Vampagelida,Frosthauch,Llama Gélida,콜드플레어,极寒冷焰,極寒冷焰
555,バークアウト,Snarl,Aboiement,Urlorabbia,Standpauke,Alarido,바크아웃,大声咆哮,大聲咆哮
556,つららおとし,Icicle Crash,Chute Glace,Scagliagelo,Eiszapfhagel,Chuzos,고드름떨구기,冰柱坠击,冰柱墜擊
557,Ｖジェネレート,V-create,Coup Victoire,Generatore V,V-Generator,V de Fuego,V제너레이트,Ｖ热焰,Ｖ熱焰
558,クロスフレイム,Fusion Flare,Flamme Croix,Incrofiamma,Kreuzflamme,Llama Fusión,크로스플레임,交错火焰,交錯火焰
559,クロスサンダー,Fusion Bolt,Éclair Croix,Incrotuono,Kreuzdonner,Rayo Fusión,크로스썬더,交错闪电,交錯閃電
560,フライングプレス,Flying Press,Flying Press,Schiacciatuffo,Flying Press,Plancha Voladora,플라잉프레스,飞身重压,飛身重壓
561,たたみがえし,Mat Block,Tatamigaeshi,Ribaltappeto,Tatami-Schild,Escudo Tatami,마룻바닥세워막기,掀榻榻米,掀榻榻米
562,ゲップ,Belch,Éructation,Rutto,Rülpser,Eructo,트림,打嗝,打嗝
563,たがやす,Rototiller,Fertilisation,Aracampo,Pflüger,Fertilizante,일구기,耕地,耕地
564,ねばねばネット,Sticky Web,Toile Gluante,Rete Vischiosa,Klebenetz,Red Viscosa,끈적끈적네트,黏黏网,黏黏網
565,とどめばり,Fell Stinger,Dard Mortel,Pungiglione,Stachelfinale,Aguijón Letal,마지막일침,致命针刺,致命針刺
566,ゴーストダイブ,Phantom Force,Hantise,Spettrotuffo,Phantomkraft,Golpe Fantasma,고스트다이브,潜灵奇袭,潛靈奇襲
567,ハロウィン,Trick-or-Treat,Halloween,Halloween,Halloween,Halloween,핼러윈,万圣夜,萬聖夜
568,おたけび,Noble Roar,Râle Mâle,Urlo,Kampfgebrüll,Rugido de Guerra,부르짖기,战吼,戰吼
569,プラズマシャワー,Ion Deluge,Déluge Plasmique,Pioggiaplasma,Plasmaschauer,Cortina Plasma,플라스마샤워,等离子浴,等離子浴
570,パラボラチャージ,Parabolic Charge,Parabocharge,Caricaparabola,Parabolladung,Carga Parábola,파라볼라차지,抛物面充电,拋物面充電
571,もりののろい,Forest's Curse,Maléfice Sylvain,Boscomalocchio,Waldesfluch,Condena Silvana,숲의저주,森林咒术,森林詛咒
572,はなふぶき,Petal Blizzard,Tempête Florale,Fiortempesta,Blütenwirbel,Tormenta Floral,꽃보라,落英缤纷,落英繽紛
573,フリーズドライ,Freeze-Dry,Lyophilisation,Liofilizzazione,Gefriertrockner,Liofilización,프리즈드라이,冷冻干燥,冷凍乾燥
574,チャームボイス,Disarming Voice,Voix Enjôleuse,Incantavoce,Säuselstimme,Voz Cautivadora,차밍보이스,魅惑之声,魅惑之聲
575,すてゼリフ,Parting Shot,Dernier Mot,Monito,Abgangstirade,Última Palabra,막말내뱉기,抛下狠话,拋下狠話
576,ひっくりかえす,Topsy-Turvy,Renversement,Sottosopra,Invertigo,Reversión,뒤집어엎기,颠倒,顛倒
577,ドレインキッス,Draining Kiss,Vampibaiser,Assorbibacio,Diebeskuss,Beso Drenaje,드레인키스,吸取之吻,吸取之吻
578,トリックガード,Crafty Shield,Vigilance,Truccodifesa,Trickschutz,Truco Defensa,트릭가드,戏法防守,戲法防守
579,フラワーガード,Flower Shield,Garde Florale,Fiordifesa,Floraschutz,Defensa Floral,플라워가드,鲜花防守,鮮花防守
580,グラスフィールド,Grassy Terrain,Champ Herbu,Campo Erboso,Grasfeld,Campo de Hierba,그래스필드,青草场地,青草場地
581,ミストフィールド,Misty Terrain,Champ Brumeux,Campo Nebbioso,Nebelfeld,Campo de Niebla,미스트필드,薄雾场地,薄霧場地
582,そうでん,Electrify,Électrisation,Elettrocontagio,Elektrifizierung,Electrificación,송전,输电,輸電
583,じゃれつく,Play Rough,Câlinerie,Carineria,Knuddler,Carantoña,치근거리기,嬉闹,嬉鬧
584,ようせいのかぜ,Fairy Wind,Vent Féérique,Vento di Fata,Feenbrise,Viento Feérico,요정의바람,妖精之风,妖精之風
585,ムーンフォース,Moonblast,Pouvoir Lunaire,Forza Lunare,Mondgewalt,Fuerza Lunar,문포스,月亮之力,月亮之力
586,ばくおんぱ,Boomburst,Bang Sonique,Ondaboato,Überschallknall,Estruendo,폭음파,爆音波,爆音波
587,フェアリーロック,Fairy Lock,Verrou Enchanté,Blocco Fatato,Feenschloss,Cerrojo Feérico,페어리록,妖精之锁,妖精之鎖
588,キングシールド,King's Shield,Bouclier Royal,Scudo Reale,Königsschild,Escudo Real,킹실드,王者盾牌,王者盾牌
589,なかよくする,Play Nice,Camaraderie,Simpatia,Kameradschaft,Camaradería,친해지기,和睦相处,和睦相處
590,ないしょばなし,Confide,Confidence,Confidenza,Vertrauenssache,Confidencia,비밀이야기,密语,密語
591,ダイヤストーム,Diamond Storm,Orage Adamantin,Diamantempesta,Diamantsturm,Torm. Diamantes,다이아스톰,钻石风暴,鑽石風暴
592,スチームバースト,Steam Eruption,Jet de Vapeur,Vaporscoppio,Dampfschwall,Chorro de Vapor,스팀버스트,蒸汽爆炸,蒸汽爆炸
593,いじげんホール,Hyperspace Hole,TrouDimensionnel,Forodimensionale,Dimensionsloch,Paso Dimensional,이차원홀,异次元洞,異次元洞
594,みずしゅりけん,Water Shuriken,Sheauriken,Acqualame,Wasser-Shuriken,Shuriken de Agua,물수리검,飞水手里剑,飛水手裡劍
595,マジカルフレイム,Mystical Fire,Feu Ensorcelé,Magifiamma,Magieflamme,Llama Embrujada,매지컬플레임,魔法火焰,魔法火焰
596,ニードルガード,Spiky Shield,Pico-Défense,Agodifesa,Schutzstacheln,Barrera Espinosa,니들가드,尖刺防守,尖刺防守
597,アロマミスト,Aromatic Mist,Brume Capiteuse,Nebularoma,Duftwolke,Niebla Aromática,아로마미스트,芳香薄雾,芳香薄霧
598,かいでんぱ,Eerie Impulse,Ondes Étranges,Elettromistero,Mystowellen,Onda Anómala,괴전파,怪异电波,怪異電波
599,ベノムトラップ,Venom Drench,Piège de Venin,Velenotrappola,Giftfalle,Trampa Venenosa,베놈트랩,毒液陷阱,毒液陷阱
600,ふんじん,Powder,Nuée de Poudre,Pulviscoppio,Pulverschleuder,Polvo Explosivo,분진,粉尘,粉塵
601,ジオコントロール,Geomancy,Géo-Contrôle,Geocontrollo,Geokontrolle,Geocontrol,지오컨트롤,大地掌控,大地掌控
602,じばそうさ,Magnetic Flux,Magné-Contrôle,Controllo Polare,Magnetregler,Aura Magnética,자기장조작,磁场操控,磁場操控
603,ハッピータイム,Happy Hour,Étrennes,Cuccagna,Goldene Zeiten,Paga Extra,해피타임,欢乐时光,歡樂時光
604,エレキフィールド,Electric Terrain,Champ Électrifié,Campo Elettrico,Elektrofeld,Campo Eléctrico,일렉트릭필드,电气场地,電氣場地
605,マジカルシャイン,Dazzling Gleam,Éclat Magique,Magibrillio,Zauberschein,Brillo Mágico,매지컬샤인,魔法闪耀,魔法閃耀
606,おいわい,Celebrate,Célébration,Auguri,Ehrentag,Celebración,축하,庆祝,慶祝
607,てをつなぐ,Hold Hands,Mains Jointes,Mano nella Mano,Händchenhalten,Manos Juntas,손에손잡기,牵手,牽手
608,つぶらなひとみ,Baby-Doll Eyes,Regard Touchant,Occhioni Teneri,Kulleraugen,Ojitos Tiernos,초롱초롱눈동자,圆瞳,圓瞳
609,ほっぺすりすり,Nuzzle,Frotte-Frimousse,Elettrococcola,Wangenrubbler,Moflete Estático,볼부비부비,蹭蹭脸颊,蹭蹭臉頰
610,てかげん,Hold Back,Retenue,Riguardo,Zurückhaltung,Clemencia,적당히손봐주기,手下留情,手下留情
611,まとわりつく,Infestation,Harcèlement,Assillo,Plage,Acoso,엉겨붙기,纠缠不休,死纏爛打
612,グロウパンチ,Power-Up Punch,Poing Boost,Crescipugno,Steigerungshieb,Puño Incremento,그로우펀치,增强拳,增強拳
613,デスウイング,Oblivion Wing,Mort'Ailes,Ali del Fato,Unheilsschwingen,Ala Mortífera,데스윙,归天之翼,死亡之翼
614,サウザンアロー,Thousand Arrows,Myria-Flèches,Mille Frecce,Tausend Pfeile,Mil Flechas,사우전드애로,千箭齐发,千箭齊發
615,サウザンウェーブ,Thousand Waves,Myria-Vagues,Mille Onde,Tausend Wellen,Mil Temblores,사우전드웨이브,千波激荡,千波激盪
616,グランドフォース,Land's Wrath,Force Chtonienne,Forza Tellurica,Bodengewalt,Fuerza Telúrica,그라운드포스,大地神力,大地神力
617,はめつのひかり,Light of Ruin,Lumière du Néant,Luce Nefasta,Lux Calamitatis,Luz Aniquiladora,파멸의빛,破灭之光,破滅之光
618,こんげんのはどう,Origin Pulse,Onde Originelle,Primopulsar,Ursprungswoge,Pulso Primigenio,근원의파동,根源波动,根源波動
619,だんがいのつるぎ,Precipice Blades,Lame Pangéenne,Spade Telluriche,Abgrundsklinge,Filo del Abismo,단애의칼,断崖之剑,斷崖之劍
620,ガリョウテンセイ,Dragon Ascent,Draco-Ascension,Ascesa del Drago,Zenitstürmer,Ascenso Draco,화룡점정,画龙点睛,畫龍點睛
621,いじげんラッシュ,Hyperspace Fury,Furie Dimension,Urtodimensionale,Dimensionswahn,Cerco Dimensión,이차원러시,异次元猛攻,異次元猛攻
622,ウルトラダッシュアタック,Breakneck Blitz,Turbo-Charge Bulldozer,Carica Travolgente,Hyper-Sprintangriff,Carrera Arrolladora,울트라대시어택,究极无敌大冲撞,究極無敵大衝撞
623,ウルトラダッシュアタック,Breakneck Blitz,Turbo-Charge Bulldozer,Carica Travolgente,Hyper-Sprintangriff,Carrera Arrolladora,울트라대시어택,究极无敌大冲撞,究極無敵大衝撞
624,ぜんりょくむそうげきれつけん,All-Out Pummeling,Combo Hyper-Furie,Iperscarica Furiosa,Fulminante Faustschläge,Ráfaga Demoledora,전력무쌍격렬권,全力无双激烈拳,全力無雙激烈拳
625,ぜんりょくむそうげきれつけん,All-Out Pummeling,Combo Hyper-Furie,Iperscarica Furiosa,Fulminante Faustschläge,Ráfaga Demoledora,전력무쌍격렬권,全力无双激烈拳,全力無雙激烈拳
626,ファイナルダイブクラッシュ,Supersonic Skystrike,Piqué Supersonique,Picchiata Devastante,Finaler Steilflug,Picado Supersónico,파이널다이브클래시,极速俯冲轰烈撞,極速俯衝轟烈撞
627,ファイナルダイブクラッシュ,Supersonic Skystrike,Piqué Supersonique,Picchiata Devastante,Finaler Steilflug,Picado Supersónico,파이널다이브클래시,极速俯冲轰烈撞,極速俯衝轟烈撞
628,アシッドポイズンデリート,Acid Downpour,Déluge Causti-Toxique,Acidiluvio Corrosivo,Vernichtender Säureregen,Diluvio Corrosivo,애시드포이즌딜리트,强酸剧毒灭绝雨,強酸劇毒滅絕雨
629,アシッドポイズンデリート,Acid Downpour,Déluge Causti-Toxique,Acidiluvio Corrosivo,Vernichtender Säureregen,Diluvio Corrosivo,애시드포이즌딜리트,强酸剧毒灭绝雨,強酸劇毒滅絕雨
630,ライジングランドオーバー,Tectonic Rage,Éruption Géo-Sismique,Furore della Terra,Seismische Eruption,Barrena Telúrica,라이징랜드오버,地隆啸天大终结,地隆嘯天大終結
631,ライジングランドオーバー,Tectonic Rage,Éruption Géo-Sismique,Furore della Terra,Seismische Eruption,Barrena Telúrica,라이징랜드오버,地隆啸天大终结,地隆嘯天大終結
632,ワールズエンドフォール,Continental Crush,Apocalypse Gigalithique,Gigamacigno Polverizzante,Apokalyptische Steinpresse,Aplastamiento Gigalítico,월즈엔드폴,毁天灭地巨岩坠,毀天滅地巨岩墜
633,ワールズエンドフォール,Continental Crush,Apocalypse Gigalithique,Gigamacigno Polverizzante,Apokalyptische Steinpresse,Aplastamiento Gigalítico,월즈엔드폴,毁天灭地巨岩坠,毀天滅地巨岩墜
634,ぜったいほしょくかいてんざん,Savage Spin-Out,Cocon Fatal,Bozzolo Fatale,Wirbelnder Insektenhieb,Guadaña Sedosa,절대포식회전참,绝对捕食回旋斩,絕對捕食迴旋斬
635,ぜったいほしょくかいてんざん,Savage Spin-Out,Cocon Fatal,Bozzolo Fatale,Wirbelnder Insektenhieb,Guadaña Sedosa,절대포식회전참,绝对捕食回旋斩,絕對捕食迴旋斬
636,むげんあんやへのいざない,Never-Ending Nightmare,Appel des Ombres Éternelles,Abbraccio Spettrale,Ewige Nacht,Presa Espectral,무한암야로의유인,无尽暗夜之诱惑,無盡暗夜之誘惑
637,むげんあんやへのいざない,Never-Ending Nightmare,Appel des Ombres Éternelles,Abbraccio Spettrale,Ewige Nacht,Presa Espectral,무한암야로의유인,无尽暗夜之诱惑,無盡暗夜之誘惑
638,ちょうぜつらせんれんげき,Corkscrew Crash,Vrille Maximum,Spirale Perforante,Turbo-Spiralkombo,Hélice Trepanadora,초월나선연격,超绝螺旋连击,超絕螺旋連擊
639,ちょうぜつらせんれんげき,Corkscrew Crash,Vrille Maximum,Spirale Perforante,Turbo-Spiralkombo,Hélice Trepanadora,초월나선연격,超绝螺旋连击,超絕螺旋連擊
640,ダイナミックフルフレイム,Inferno Overdrive,Pyro-Explosion Cataclysmique,Fiammobomba Detonante,Dynamische Maxiflamme,Hecatombe Pírica,다이내믹풀플레임,超强极限爆焰弹,超強極限爆焰彈
641,ダイナミックフルフレイム,Inferno Overdrive,Pyro-Explosion Cataclysmique,Fiammobomba Detonante,Dynamische Maxiflamme,Hecatombe Pírica,다이내믹풀플레임,超强极限爆焰弹,超強極限爆焰彈
642,スーパーアクアトルネード,Hydro Vortex,Super Tourbillon Abyssal,Idrovortice Abissale,Super-Wassertornado,Hidrovórtice Abisal,슈퍼아쿠아토네이도,超级水流大漩涡,超級水流大漩渦
643,スーパーアクアトルネード,Hydro Vortex,Super Tourbillon Abyssal,Idrovortice Abissale,Super-Wassertornado,Hidrovórtice Abisal,슈퍼아쿠아토네이도,超级水流大漩涡,超級水流大漩渦
644,ブルームシャインエクストラ,Bloom Doom,Pétalexplosion Éblouissante,Floriscoppio Sfolgorante,Brillante Blütenpracht,Megatón Floral,블룸샤인엑스트라,绚烂缤纷花怒放,絢爛繽紛花怒放
645,ブルームシャインエクストラ,Bloom Doom,Pétalexplosion Éblouissante,Floriscoppio Sfolgorante,Brillante Blütenpracht,Megatón Floral,블룸샤인엑스트라,绚烂缤纷花怒放,絢爛繽紛花怒放
646,スパーキングギガボルト,Gigavolt Havoc,Fulguro-Lance Gigavolt,Gigascarica Folgorante,Gigavolt-Funkensalve,Gigavoltio Destructor,스파킹기가볼트,终极伏特狂雷闪,終極伏特狂雷閃
647,スパーキングギガボルト,Gigavolt Havoc,Fulguro-Lance Gigavolt,Gigascarica Folgorante,Gigavolt-Funkensalve,Gigavoltio Destructor,스파킹기가볼트,终极伏特狂雷闪,終極伏特狂雷閃
648,マキシマムサイブレイカー,Shattered Psyche,Psycho-Pulvérisation EX,Impatto Psicocinetico,Psycho-Schmetterschlag,Disruptor Psíquico,맥시멈사이브레이커,至高精神破坏波,至高精神破壞波
649,マキシマムサイブレイカー,Shattered Psyche,Psycho-Pulvérisation EX,Impatto Psicocinetico,Psycho-Schmetterschlag,Disruptor Psíquico,맥시멈사이브레이커,至高精神破坏波,至高精神破壞波
650,レイジングジオフリーズ,Subzero Slammer,Laser Cryogénique,Criodistruzione Polare,Tobender Geofrost,Crioaliento Despiadado,레이징지오프리즈,激狂大地万里冰,激狂大地萬里冰
651,レイジングジオフリーズ,Subzero Slammer,Laser Cryogénique,Criodistruzione Polare,Tobender Geofrost,Crioaliento Despiadado,레이징지오프리즈,激狂大地万里冰,激狂大地萬里冰
652,アルティメットドラゴンバーン,Devastating Drake,Chaos Draconique,Dragoschianto Finale,Drastisches Drachendröhnen,Dracoaliento Devastador,얼티메이트드래곤번,究极巨龙震天地,究極巨龍震天地
653,アルティメットドラゴンバーン,Devastating Drake,Chaos Draconique,Dragoschianto Finale,Drastisches Drachendröhnen,Dracoaliento Devastador,얼티메이트드래곤번,究极巨龙震天地,究極巨龍震天地
654,ブラックホールイクリプス,Black Hole Eclipse,Trou Noir des Ombres,Buco Nero del Non Ritorno,Schwarzes Loch des Grauens,Agujero Negro Aniquilador,블랙홀이클립스,黑洞吞噬万物灭,黑洞吞噬萬物滅
655,ブラックホールイクリプス,Black Hole Eclipse,Trou Noir des Ombres,Buco Nero del Non Ritorno,Schwarzes Loch des Grauens,Agujero Negro Aniquilador,블랙홀이클립스,黑洞吞噬万物灭,黑洞吞噬萬物滅
656,ラブリースターインパクト,Twinkle Tackle,Impact Choupinova,Astroimpatto Fatato,Entzückender Sternenstoß,Arrumaco Sideral,러블리스타임팩트,可爱星星飞天撞,可愛星星飛天撞
657,ラブリースターインパクト,Twinkle Tackle,Impact Choupinova,Astroimpatto Fatato,Entzückender Sternenstoß,Arrumaco Sideral,러블리스타임팩트,可爱星星飞天撞,可愛星星飛天撞
658,ひっさつのピカチュート,Catastropika,Pikachute Foudroyante,Super Pikaboom,Perfektes Pika-Projektil,Pikavoltio Letal,필살피카슛,皮卡皮卡必杀击,皮卡皮卡必殺擊
659,すなあつめ,Shore Up,Amass'Sable,Sabbiaccumulo,Sandsammler,Recogearena,모래모으기,集沙,集沙
660,であいがしら,First Impression,Escarmouche,Schermaglia,Überrumpler,Escaramuza,만나자마자,迎头一击,迎頭一擊
